NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Dr. E. W. Coffin,The Calgary School Division,Public School,Dr. E. W. Coffin School,5615 Barrett Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9214,N,Y,N,N,2021/02/28,T2L1W4,1383141,-114.13479912704769,51.103752632520376,"(51.103752632520376, -114.13479912704769)"
Haysboro,The Calgary School Division,Public School,Haysboro School,1123 - 87 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9316,N,Y,N,N,2021/02/28,T2V0W2,1382894,-114.08913577380609,50.97549517763054,"(50.97549517763054, -114.08913577380609)"
"Calgary Islamic School, Omar Bin Al-Khattab Campus",The Palliser School Division,Public School,"Calgary Islamic School, Omar Bin Al-Khattab Campus",Omar Bin Al-Khattab Campus 225 28 Street SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1722,N,Y,Y,N,2021/02/28,T2A5K4,1376120,-113.99380976995295,51.05074503519509,"(51.05074503519509, -113.99380976995295)"
Banting and Best,The Calgary School Division,Public School,Banting and Best School,1819 - 66 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9369,N,Y,N,N,2021/02/28,T2C2K5,1382908,-114.01385382321716,50.993726042518,"(50.993726042518, -114.01385382321716)"
All Saints,The Calgary Roman Catholic Separate School Division,Separate School,All Saints School,729 Legacy Village Rd SE,Calgary,AB,Senior High,N,Provincial Data,2175,N,N,N,Y,2021/02/28,T2X4K9,2443114,-114.02675675975492,50.85930381494731,"(50.85930381494731, -114.02675675975492)"
Lord Beaverbrook High,The Calgary School Division,Public School,Lord Beaverbrook High School,9019 Fairmount Drive S.E.,Calgary,AB,Senior High,N,Provincial Data,9850,N,N,N,Y,2021/02/28,T2H0Z4,1413860,-114.06163955901133,50.97309981986913,"(50.97309981986913, -114.06163955901133)"
Falconridge,The Calgary School Division,Public School,Falconridge School,1331 Falconridge Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9375,N,Y,N,N,2021/02/28,T3J1T4,1383222,-113.94543258045223,51.09936414236255,"(51.09936414236255, -113.94543258045223)"
Langevin,The Calgary School Division,Public School,Langevin School,107 - 6A Street N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9609,N,Y,Y,N,2021/02/28,T2E0B7,1382847,-114.04770961004157,51.05285065130275,"(51.05285065130275, -114.04770961004157)"
Douglasdale,The Calgary School Division,Public School,Douglasdale School,400 Douglas Park Blvd. S.E.,Calgary,AB,Elementary,N,Provincial Data,596,N,Y,N,N,2021/02/28,T2Z4A3,1382583,-113.9826487804958,50.93526299359368,"(50.93526299359368, -113.9826487804958)"
Maria Montessori School - cSPACE King Edward Location,"Maria Montessori Education Centre of Calgary, Ltd.",Private School,Maria Montessori School - cSPACE King Edward Location,cSPACE Projects 1721-29 Avenue SW,Calgary,AB,Unknown,N,Provincial Data,2167,N,N,N,N,2021/02/28,T2T6T7,1524096,-114.10088343789056,51.02726986042331,"(51.02726986042331, -114.10088343789056)"
Simons Valley,The Calgary School Division,Public School,Simons Valley School,375 Sandarac Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9383,N,Y,N,N,2021/02/28,T3K4B2,1383728,-114.10732595888565,51.13967813016459,"(51.13967813016459, -114.10732595888565)"
St. Jean Brebeuf,The Calgary Roman Catholic Separate School Division,Separate School,St. Jean Brebeuf School,5030 Northland Drive N.W.,Calgary,AB,Junior High,N,Provincial Data,8703,N,N,Y,N,2021/02/28,T2L2J6,1369132,-114.14022892058524,51.09789338393484,"(51.09789338393484, -114.14022892058524)"
Janus Academy (Holy Cross Site),Janus Academy Society,Private School,Janus Academy (Holy Cross Site),2223 Spiller Rd SE,Calgary,AB,Junior High/Senior High,N,Provincial Data,1323,N,N,Y,Y,2021/02/28,T2H1S1,1375426,-114.05629287207928,50.97743769717626,"(50.97743769717626, -114.05629287207928)"
Bridlewood,The Calgary School Division,Public School,Bridlewood School,207 Bridleridge Way S.W.,Calgary,AB,Elementary,N,Provincial Data,1498,N,Y,N,N,2021/02/28,T2Y0L4,1382189,-114.11066198234371,50.90238360612156,"(50.90238360612156, -114.11066198234371)"
Akiva Academy,Congregation House of Jacob-Mikveh Israel,Private School,Akiva Academy,140 Haddon Road S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9914,N,Y,Y,N,2021/02/28,T2V2Y3,1000918,-114.07782355013931,50.97327737890793,"(50.97327737890793, -114.07782355013931)"
Cranston,The Calgary School Division,Public School,Cranston School,205 Cranston Drive SE,Calgary,AB,Elementary,N,Provincial Data,1499,N,Y,N,N,2021/02/28,T3M1E8,1370431,-113.98724182663172,50.88678713843287,"(50.88678713843287, -113.98724182663172)"
